abr,network,segment size (s),rebuffering_count,rebuffering_mean,rebuffering_std,rebuffering_skew,rebuffering_max,rebuffering_sum,qualitychange_mean,qualitychange_skew,qualitychange_count,qualitychange_sum,qualitychange_std,qualitychange_max,latency_mean,latency_std,latency_skew,latency_min,latency_median,latency_max,bitrate_mean,bitrate_std,bitrate_skew,bitrate_min,bitrate_median,bitrate_max,bw_mean,bw_std,buffer_mean,buffer_std,resolution_mean,resolution_std,resolution_skew,resolution_min,resolution_median,resolution_max
throughput,cascade20,2,0,0,0,0,0,0,817500,4.611226626,10,8175000,224505.3405,1635000,4.220703704,0.5936490737,3.00585491,4.017,4.017,6.726,590686.2745,553165.549,2.729828065,365000,365000,3000000,2037.498305,1116.165398,2.501526846,0.8602714674,399.2156863,102.8509999,2.591364238,360,360,720
throughput,cascade20,2,23,1.663043478,1.579405627,0.3288647568,4.25,38.25,367000,4.673898921,5,1835000,72488.85306,370000,13.48363574,10.18759059,0.9804367456,4.016,8.607,39.462,432480,194380.3471,2.789279596,365000,365000,1100000,803.3806228,538.8491277,2.696127517,2.300962615,367.68,29.48854343,3.562776455,360,360,480
bola,cascade20,2,19,1.538947368,1.528786355,1.069146745,5.18,29.24,365000,2.846049894,1,365000,110051.6408,365000,118.7424034,77.3967812,0.215169208,0,112.897,259.897,395416.6667,105366.4241,3.015113446,365000,365000,730000,226.8292683,8.730349392,5.62797651,4.719545768,360,0,nan,360,360,360
bola,cascade20,2,12,0.5333333333,0.6783044816,2.087706509,2.46,6.4,626212.1212,2.678670801,33,20665000,308839.317,1635000,20.85887119,7.246772189,-0.8372107124,4.974,22.28,32.45,804006.6225,474733.9676,1.510943264,365000,730000,3000000,1948.585034,1173.204045,3.648157718,3.318762811,421.192053,99.79263268,1.887443691,360,360,720
bola,cascade20,2,12,4.42,4.329736503,0.4764437644,12.77,53.04,365000,3.75,1,365000,88525.50314,365000,102.8927804,71.10229656,0.3649863561,0,91.279,238.78,385277.7778,86031.32504,3.880570001,365000,365000,730000,243.5944056,15.22866077,0.1409597315,0.2963479591,360,0,nan,360,360,360
bola,cascade20,2,19,1.538947368,1.528786355,1.069146745,5.18,29.24,634565.2174,3.148563427,23,14595000,266143.9313,1635000,20.82841695,8.315939075,-0.5070292095,0,21.864,35.151,784697.9866,372042.9484,0.4510055553,365000,730000,2000000,2109.744027,1082.744777,5.62797651,4.719545768,419.5973154,73.31788612,1.350419411,360,360,720
bola,cascade20,2,10,0.329,0.2498199352,2.666666667,1.04,3.29,916458.3333,2.041384383,48,43990000,528011.2694,2635000,11.98962963,3.814113592,0.06258276223,0,11.839,19.572,1132828.947,620122.737,1.103150644,365000,1100000,3000000,3961.663265,1939.495179,2.609489933,2.310594646,483.9473684,137.7018465,0.8327182924,360,480,720
bola,cascade20,2,0,0,0,0,0,0,761250,2.57319771,24,18270000,312177.1759,1635000,19.0044726,6.939909498,-0.3075346222,4.412,20.093,30.965,2139866.667,1001579.448,-0.6970390532,365000,2500000,3000000,3971.802768,2070.004718,3.90183557,3.55108893,634.4,145.3737604,0.176367863,360,720,720
bola,cascade20,2,16,0.41625,0.692838365,3.544660821,3,6.66,396250,3.486707432,12,4755000,115299.8849,735000,19.09577816,6.760512741,-0.4847372859,0,20.362,29.831,440354.6099,193706.0046,2.525607639,365000,365000,1100000,952.937931,470.8690812,3.960278523,4.098132309,366.8085106,27.85983153,3.832120872,360,360,480
bola,cascade20,2,19,1.951052632,1.231610936,0.4568295831,4.8,37.07,522000,3.804869386,15,7830000,181305.2526,1000000,21.99124286,7.225961786,-0.375870564,4.777,22.59,34.846,1266979.167,697891.4844,0.08021346357,365000,1100000,3000000,2150.643885,1304.412619,4.999020134,4.61533823,539.1666667,156.1042327,0.1395942112,360,480,720
